Code,Name,Class,Type,District Code,District Name,SubDistrict Code,SubDistrict Name,Parliament Constituency code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name,Ward Count,Village Names,Pincodes
254481,Raia,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3702,Curtorim,11,Raia (Ct),403720
254484,Rumdamol-Davorlim,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3708,Navelim,7,Davorlim (Ct) (part),403707
254510,St. Jose-De-Areal,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3716,Velim,11,Sao Jose De Areal (Ct),403709
254523,Varca,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3697,Benaulim,9,Varca (Ct),403721
254532,Verna,Suburb,Village Panchayat,552,South Goa,5616,Salcete,481,South Goa,3709,Nuvem,9,Verna (Ct),403722
254373,Bhati,Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,7,"Bati, Cumbari, Dongor, Naiquinim, Potrem, Sigonem (part), Todou, Viliena","403410, 403704"
254406,Curdi,Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,7,"Curdem, Kurpem, Porteem",403704
254423,Kalay(Kalem),Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,7,"Boma (part), Calem, Costi, Dongurli (part), Dudal, Maulinguem, Odxel",403704
254458,Neturlim,Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,7,"Neturlim, Nundem, Verlem, Vichundrem",403704
254483,Rivona,Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,9,"Colomb, Rivona",403705
254521,Uguem,Village,Village Panchayat,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,7,"Cotarli, Muguli, Patiem, Salauli, Uguem (part), Xelpem",403704
252099,Sanguem,Town,Municipality,552,South Goa,5618,Sanguem,481,South Goa,3712,Sanguem,20,,403704
254491,Sanvordem,Suburb,Village Panchayat,552,South Goa,5618,Sanguem,480,North Goa,3696,Valpoi,9,"Antoriem, Comproi, Coranginim, Rumbrem, Santona, Sanvordem (Ct)","403704, 403706"
