Code,Name,Class,Type,District Code,District Name,SubDistrict Code,SubDistrict Name,Parliament Constituency code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency Name,Ward Count,Village Names,Pincodes
254476,"Pomburpa, Olaulim",Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3687,Porvorim,7,"Olaulim, Pomburpa, Salvador-Do-Mundo (Ct) (part)",403523
254486,Saligao,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3689,Saligao,9,Saligao (Ct),403511
254487,Salvador-Do-Mundo,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3687,Porvorim,9,Salvador-Do-Mundo (Ct) (part),403101
254500,Siolim Marna,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,9,"Marna, Siolim (Ct) (part)",403517
254501,Siolim-Sodiem,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3691,Siolim,7,Siolim (Ct) (part),403517
254506,Socorro,Suburb,Village Panchayat,551,North Goa,5610,Bardez,480,North Goa,3687,Porvorim,11,Socorro (Ct),403501
254346,Advalpal,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,5,Adwalpale,403503
254353,Amona,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,7,Amone,403107
254402,Cudnem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,7,Cudnem,403505
272873,Harvalem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,5,Arvalem,403505
254430,Latambarcem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,9,Latambarcem,403503
254439,Mayem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3696,Valpoi,11,"Aturli, Maem, Vainguinim (part)",403504
254440,Mencurem Dumacem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,5,"Dumacem, Mencurem",403513
254448,Mulgao,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,7,Mulgao,403503
254454,Naroa,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,5,Naroa (part),403504
254456,Navelim,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,7,Navelim (part),403505
254437,Ona Maulinguem Curchirem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3681,Maem,7,"Curchirem, Maulinguem-North, Ona","403504, 403505"
254472,Piligao,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3681,Maem,7,Piligao,403504
254485,Salem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3678,Bicholim,7,Salem,403503
254503,Sirigao,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3681,Maem,5,Sirigao,403503
254511,Surla,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,9,Surla (part),403505
254525,Velguem,Village,Village Panchayat,551,North Goa,5612,Bicholim,480,North Goa,3690,Sanquelim,7,Velguem (part),403105
