S.No.,Local Body Code,Local Body Name,Ward Code,Ward Number,Ward Name,State Code,State Name
131,252084,Mormugao,37253,7,Mormugao (M Cl) - Ward No.7,30,Goa
132,252082,Ponda,37240,4,Ponda (M Cl) - Ward No.4,30,Goa
133,252071,City Corporation Panaji,1454,21,Panaji (M Ci) - Ward No.21,30,Goa
134,252087,Margao,1497,9,Margao (M Cl) - Ward No.9,30,Goa
135,252071,City Corporation Panaji,932799,25,Panaji (Mci) - Ward No.25,30,Goa
136,252087,Margao,1307297,24,Margao (Mci) - Ward No. 24,30,Goa
137,252087,Margao,1491,3,Margao (M Cl) - Ward No.3,30,Goa
138,252087,Margao,1307294,21,Margao ( Mci) - Ward No. 21,30,Goa
139,252077,Sankhali,1457,1,Sanquelim (M Cl) - Ward No.1,30,Goa
140,252077,Sankhali,1466,10,Sanquelim (M Cl) - Ward No.10,30,Goa
141,252096,Curchorem Cacora,1307285,13,Curchorem Cacora (M Ci) - Ward No. 13,30,Goa
142,252084,Mormugao,37265,19,Mormugao (M Cl) - Ward No.19,30,Goa
143,252071,City Corporation Panaji,1486,2,Panaji (M Cl) - Ward No.2,30,Goa
144,252087,Margao,1605,12,Margao (M Cl) - Ward No.12,30,Goa
145,252087,Margao,1498,10,Margao (M Cl) - Ward No.10,30,Goa
146,252079,Valpoi,74925,4,Valpoi (M Cl) - Ward No.4,30,Goa
147,252077,Sankhali,1460,4,Sanquelim (M Cl) - Ward No.4,30,Goa
148,252057,Pernem,37752,3,Pernem (M Cl) - Ward No.3,30,Goa
149,252097,Quepem,37386,6,Quepem (M Cl) - Ward No.6,30,Goa
150,252061,Mapusa,1478,13,Mapusa (M Cl) - Ward No.13,30,Goa
151,252084,Mormugao,37250,4,Mormugao (M Cl) - Ward No.4,30,Goa
152,252061,Mapusa,1307287,14,Mapusa (M Ci) - Ward No. 14,30,Goa
153,252075,Bicholim,74918,7,Bicholim (M Cl) - Ward No.7,30,Goa
154,252095,Cuncolim,1617,4,Cuncolim (M Cl) - Ward No.4,30,Goa
155,252096,Curchorem Cacora,37376,6,Curchorem Cacora (M Cl) - Ward No.6,30,Goa
156,252079,Valpoi,74923,2,Valpoi (M Cl) - Ward No.2,30,Goa
157,252071,City Corporation Panaji,1438,5,Panaji (M Cl) - Ward No.5,30,Goa
158,252096,Curchorem Cacora,37374,4,Curchorem Cacora (M Cl) - Ward No.4,30,Goa
159,252095,Cuncolim,1618,5,Cuncolim (M Cl) - Ward No.5,30,Goa
160,252096,Curchorem Cacora,37379,9,Curchorem Cacora (M Cl) - Ward No.9,30,Goa
161,252071,City Corporation Panaji,1455,22,Panaji (M Ci) - Ward No.22,30,Goa
162,252100,Canacona,1628,3,Canacona (M Cl) - Ward No.3,30,Goa
163,252082,Ponda,37238,2,Ponda (M Cl) - Ward No.2,30,Goa
164,252071,City Corporation Panaji,1442,9,Panaji (M Cl) - Ward No.9,30,Goa
