S.No.,State Code,State Name (In English),State Census 2011 Code,District Code,District Name (In English),District Census 2011 Code,Subdistrict Code,Subdistrict Name (In English),Subdistrict Census 2011 Code,Village Code,Village Name (In English),Village Census 2011 Code,Localbody Code,localbody Name (In English),Localbody Census 2011 Code,Development Block Code,Development Block Name (In English),District Code of Development Block,District Name of Development Block (In English)
13,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626691,Colvale (Ct),626691,254396,Colvale,0,5929,Bardez,551.0,North Goa
14,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626683,Corjuem,626683,254349,Aldona,0,5929,Bardez,551.0,North Goa
15,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626693,Guirim (Ct),626693,254419,Guirim,0,5929,Bardez,551.0,North Goa
16,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626671,Marna,626671,254500,Siolim Marna,0,5929,Bardez,551.0,North Goa
17,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626689,Marra,626689,254380,Candolim,0,5929,Bardez,551.0,North Goa
18,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626689,Marra,626689,254471,Pilerne - Marra,0,5929,Bardez,551.0,North Goa
19,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626692,Moira (Ct),626692,254442,Moira,0,5929,Bardez,551.0,North Goa
20,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626667,Moitem,626667,254359,Assanora,0,5929,Bardez,551.0,North Goa
21,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626682,Nachinola,626682,254449,Nachinola,0,5929,Bardez,551.0,North Goa
22,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626665,Nadora,626665,254450,Nadora,0,5929,Bardez,551.0,North Goa
23,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626674,Nagoa,626674,254357,Arpora-Nagoa,0,5929,Bardez,551.0,North Goa
24,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626698,Nerul (Ct),626698,254457,Nerul,0,5929,Bardez,551.0,North Goa
25,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626686,Olaulim,626686,254476,"Pomburpa, Olaulim",0,5929,Bardez,551.0,North Goa
26,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626662,Oxel,626662,254462,Oxel,0,5929,Bardez,551.0,North Goa
27,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626679,Paliem,626679,254520,Ucassaim-Paliem-Punola,0,5929,Bardez,551.0,North Goa
28,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626675,Parra,626675,254469,Parra,0,5929,Bardez,551.0,North Goa
29,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626701,Penha-De-Franca (Ct),626701,254470,Penha-De-France,0,5929,Bardez,551.0,North Goa
30,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626700,Pilerne (Ct),626700,254471,Pilerne - Marra,0,5929,Bardez,551.0,North Goa
31,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626666,Pirna,626666,254473,Pirna,0,5929,Bardez,551.0,North Goa
32,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626687,Pomburpa,626687,254476,"Pomburpa, Olaulim",0,5929,Bardez,551.0,North Goa
33,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626684,Ponolem,626684,254349,Aldona,0,5929,Bardez,551.0,North Goa
34,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626680,Punola,626680,254520,Ucassaim-Paliem-Punola,0,5929,Bardez,551.0,North Goa
35,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626699,Reis-Magos,626699,254529,Reis-Magos,0,5929,Bardez,551.0,North Goa
36,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626664,Revora,626664,254482,Revora,0,5929,Bardez,551.0,North Goa
37,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626696,Saligao (Ct),626696,254486,Saligao,0,5929,Bardez,551.0,North Goa
38,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626702,Salvador-Do-Mundo (Ct),626702,254476,"Pomburpa, Olaulim",0,5929,Bardez,551.0,North Goa
39,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626702,Salvador-Do-Mundo (Ct),626702,254487,Salvador-Do-Mundo,0,5929,Bardez,551.0,North Goa
40,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626688,Sangolda,626688,254490,Sangolda,0,5929,Bardez,551.0,North Goa
41,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626690,Siolim (Ct),626690,254500,Siolim Marna,0,5929,Bardez,551.0,North Goa
42,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626690,Siolim (Ct),626690,254501,Siolim-Sodiem,0,5929,Bardez,551.0,North Goa
43,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626669,Sircaim,626669,254504,Sirsaim,0,5929,Bardez,551.0,North Goa
44,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626703,Socorro (Ct),626703,254506,Socorro,0,5929,Bardez,551.0,North Goa
45,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626670,Tivim,626670,254516,Thivim,0,5929,Bardez,551.0,North Goa
46,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626681,Ucassaim,626681,254520,Ucassaim-Paliem-Punola,0,5929,Bardez,551.0,North Goa
47,30,Goa,30,551,North Goa,585,5610,Bardez,5610,626676,Verla,626676,254531,Verla Canca,0,5929,Bardez,551.0,North Goa
48,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626745,Adwalpale,626745,254346,Advalpal,0,5930,Bicholim,551.0,North Goa
49,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626758,Amone,626758,254353,Amona,0,5930,Bicholim,551.0,North Goa
50,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,917385,Arvalem,0,272873,Harvalem,0,5930,Bicholim,551.0,North Goa
51,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626754,Aturli,626754,254439,Mayem,0,5930,Bicholim,551.0,North Goa
52,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,924814,Bordem,0,,,,5930,Bicholim,551.0,North Goa
53,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626763,Carapur (Ct),626763,254424,Karapur-Sarvan,0,5930,Bicholim,551.0,North Goa
54,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626760,Cotombi,626760,254464,"Pale, Cotombi",0,5930,Bicholim,551.0,North Goa
55,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626757,Cudnem,626757,254402,Cudnem,0,5930,Bicholim,551.0,North Goa
56,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626750,Curchirem,626750,254437,Ona Maulinguem Curchirem,0,5930,Bicholim,551.0,North Goa
57,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626742,Dumacem,626742,254440,Mencurem Dumacem,0,5930,Bicholim,551.0,North Goa
58,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,924818,Lamgao,0,,,,5930,Bicholim,551.0,North Goa
59,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626744,Latambarcem,626744,254430,Latambarcem,0,5930,Bicholim,551.0,North Goa
60,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626752,Maem,626752,254439,Mayem,0,5930,Bicholim,551.0,North Goa
61,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626749,Maulinguem-North,626749,254437,Ona Maulinguem Curchirem,0,5930,Bicholim,551.0,North Goa
62,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626741,Mencurem,626741,254440,Mencurem Dumacem,0,5930,Bicholim,551.0,North Goa
63,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626747,Mulgao,626747,254448,Mulgao,0,5930,Bicholim,551.0,North Goa
64,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626755,Naroa,626755,254454,Naroa,0,5930,Bicholim,551.0,North Goa
65,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626759,Navelim,626759,254456,Navelim,0,5930,Bicholim,551.0,North Goa
66,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626748,Ona,626748,254437,Ona Maulinguem Curchirem,0,5930,Bicholim,551.0,North Goa
67,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626764,Pale (Ct),626764,254464,"Pale, Cotombi",0,5930,Bicholim,551.0,North Goa
68,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626756,Piligao,626756,254472,Piligao,0,5930,Bicholim,551.0,North Goa
69,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626743,Salem,626743,254485,Salem,0,5930,Bicholim,551.0,North Goa
70,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626751,Sarvona,626751,254424,Karapur-Sarvan,0,5930,Bicholim,551.0,North Goa
71,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626746,Sirigao,626746,254503,Sirigao,0,5930,Bicholim,551.0,North Goa
72,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626761,Surla,626761,254511,Surla,0,5930,Bicholim,551.0,North Goa
73,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626753,Vainguinim,626753,254439,Mayem,0,5930,Bicholim,551.0,North Goa
74,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,626762,Velguem,626762,254525,Velguem,0,5930,Bicholim,551.0,North Goa
75,30,Goa,30,551,North Goa,585,5612,Bicholim,5612,924826,Virdi,0,,,,5930,Bicholim,551.0,North Goa
76,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626657,Agarvado,626657,254347,Agarwada Chopdem,0,5931,Pernem,551.0,North Goa
77,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626649,Alorna,626649,254350,Alorna,0,5931,Pernem,551.0,North Goa
78,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626643,Amberem,626643,254383,"Casnem, Amberem,Poroscodem",0,5931,Pernem,551.0,North Goa
79,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626658,Arambol (Ct),626658,254356,Arambol,0,5931,Pernem,551.0,North Goa
80,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626651,Cansarvornem,626651,254425,Kasarvanem,0,5931,Pernem,551.0,North Goa
81,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626641,Casnem,626641,254383,"Casnem, Amberem,Poroscodem",0,5931,Pernem,551.0,North Goa
82,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626648,Chandel,626648,254386,Chandel Hasapur,0,5931,Pernem,551.0,North Goa
83,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626656,Chopdem,626656,254347,Agarwada Chopdem,0,5931,Pernem,551.0,North Goa
84,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626638,Corgao,626638,254397,Corgao,0,5931,Pernem,551.0,North Goa
85,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626653,Dargalim,626653,254411,Dhargal,0,5931,Pernem,551.0,North Goa
86,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626650,Ibrampur,626650,254422,Ibrampur,0,5931,Pernem,551.0,North Goa
87,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626659,Mandrem (Ct),626659,254435,Mandrem,0,5931,Pernem,551.0,North Goa
88,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626647,Mopa,626647,254514,"Tamboxem, Mopa, Uguem",0,5931,Pernem,551.0,North Goa
89,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626661,Morgim,626661,254445,Morjim,0,5931,Pernem,551.0,North Goa
90,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626652,Ozorim,626652,254463,Ozarim,0,5931,Pernem,551.0,North Goa
91,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626637,Paliem,626637,254465,Paliem,0,5931,Pernem,551.0,North Goa
92,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626660,Parcem (Ct),626660,254467,Parcem,0,5931,Pernem,551.0,North Goa
93,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626640,Poroscodem,626640,254383,"Casnem, Amberem,Poroscodem",0,5931,Pernem,551.0,North Goa
94,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626636,Querim,626636,254426,Keri Terecol,0,5931,Pernem,551.0,North Goa
95,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626645,Tamboxem,626645,254514,"Tamboxem, Mopa, Uguem",0,5931,Pernem,551.0,North Goa
96,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626635,Tiracol,626635,254426,Keri Terecol,0,5931,Pernem,551.0,North Goa
97,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626646,Torxem,626646,254518,Torxem,0,5931,Pernem,551.0,North Goa
98,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626655,Tuem,626655,254519,Tuem,0,5931,Pernem,551.0,North Goa
99,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626644,Uguem,626644,254514,"Tamboxem, Mopa, Uguem",0,5931,Pernem,551.0,North Goa
100,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626642,Varconda,626642,254524,Varkhand Nagzar,0,5931,Pernem,551.0,North Goa
101,30,Goa,30,551,North Goa,585,5609,Pernem,5609,626654,Virnora,626654,254533,Virnoda,0,5931,Pernem,551.0,North Goa
102,30,Goa,30,551,North Goa,585,5613,Satari,5613,626825,Advoi,626825,254375,Birondem,0,5933,Satari,551.0,North Goa
103,30,Goa,30,551,North Goa,585,5613,Satari,5613,626803,Ambedem,626803,254451,Nagargao,0,5933,Satari,551.0,North Goa
104,30,Goa,30,551,North Goa,585,5613,Satari,5613,626839,Ambeli,626839,254401,Cotodem,0,5933,Satari,551.0,North Goa
105,30,Goa,30,551,North Goa,585,5613,Satari,5613,626770,Anjunem,626770,254479,Querim,0,5933,Satari,551.0,North Goa
106,30,Goa,30,551,North Goa,585,5613,Satari,5613,626814,Ansolem,626814,254375,Birondem,0,5933,Satari,551.0,North Goa
107,30,Goa,30,551,North Goa,585,5613,Satari,5613,626836,Assodem,626836,254401,Cotodem,0,5933,Satari,551.0,North Goa
108,30,Goa,30,551,North Goa,585,5613,Satari,5613,626830,Birondem,626830,254375,Birondem,0,5933,Satari,551.0,North Goa
109,30,Goa,30,551,North Goa,585,5613,Satari,5613,626802,Bombedem,626802,254451,Nagargao,0,5933,Satari,551.0,North Goa
110,30,Goa,30,551,North Goa,585,5613,Satari,5613,626807,Buimpal,626807,254421,Honda,0,5933,Satari,551.0,North Goa
111,30,Goa,30,551,North Goa,585,5613,Satari,5613,626793,Carambolim- Brama,626793,254451,Nagargao,0,5933,Satari,551.0,North Goa
112,30,Goa,30,551,North Goa,585,5613,Satari,5613,626821,Carambolim-Buzruco,626821,254492,Sanvordem,0,5933,Satari,551.0,North Goa
113,30,Goa,30,551,North Goa,585,5613,Satari,5613,626820,Caranzol,626820,254492,Sanvordem,0,5933,Satari,551.0,North Goa
114,30,Goa,30,551,North Goa,585,5613,Satari,5613,626773,Choraundem,626773,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
115,30,Goa,30,551,North Goa,585,5613,Satari,5613,626780,Codal,626780,254451,Nagargao,0,5933,Satari,551.0,North Goa
116,30,Goa,30,551,North Goa,585,5613,Satari,5613,626812,Codiem,626812,254474,Pissurlem,0,5933,Satari,551.0,North Goa
117,30,Goa,30,551,North Goa,585,5613,Satari,5613,626823,Codqui,626823,254401,Cotodem,0,5933,Satari,551.0,North Goa
118,30,Goa,30,551,North Goa,585,5613,Satari,5613,626818,Codvol,626818,254492,Sanvordem,0,5933,Satari,551.0,North Goa
119,30,Goa,30,551,North Goa,585,5613,Satari,5613,626790,Compordem,626790,254438,Mauxi,0,5933,Satari,551.0,North Goa
120,30,Goa,30,551,North Goa,585,5613,Satari,5613,626841,Conquirem,626841,254420,Guleli,0,5933,Satari,551.0,North Goa
121,30,Goa,30,551,North Goa,585,5613,Satari,5613,626832,Cotorem,626832,254401,Cotodem,0,5933,Satari,551.0,North Goa
122,30,Goa,30,551,North Goa,585,5613,Satari,5613,626815,Cudcem,626815,254492,Sanvordem,0,5933,Satari,551.0,North Goa
123,30,Goa,30,551,North Goa,585,5613,Satari,5613,626808,Cumarconda,626808,254474,Pissurlem,0,5933,Satari,551.0,North Goa
124,30,Goa,30,551,North Goa,585,5613,Satari,5613,626789,Dabem,626789,254438,Mauxi,0,5933,Satari,551.0,North Goa
125,30,Goa,30,551,North Goa,585,5613,Satari,5613,626831,Damocem,626831,254420,Guleli,0,5933,Satari,551.0,North Goa
126,30,Goa,30,551,North Goa,585,5613,Satari,5613,626801,Davem,626801,254451,Nagargao,0,5933,Satari,551.0,North Goa
127,30,Goa,30,551,North Goa,585,5613,Satari,5613,626779,Derodem,626779,254451,Nagargao,0,5933,Satari,551.0,North Goa
128,30,Goa,30,551,North Goa,585,5613,Satari,5613,626782,Dongurli,626782,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
129,30,Goa,30,551,North Goa,585,5613,Satari,5613,626791,Edorem,626791,254451,Nagargao,0,5933,Satari,551.0,North Goa
130,30,Goa,30,551,North Goa,585,5613,Satari,5613,626776,Golauli,626776,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
131,30,Goa,30,551,North Goa,585,5613,Satari,5613,626768,Gonteli,626768,254479,Querim,0,5933,Satari,551.0,North Goa
132,30,Goa,30,551,North Goa,585,5613,Satari,5613,626837,Govanem,626837,254401,Cotodem,0,5933,Satari,551.0,North Goa
133,30,Goa,30,551,North Goa,585,5613,Satari,5613,626828,Guleli,626828,254420,Guleli,0,5933,Satari,551.0,North Goa
134,30,Goa,30,551,North Goa,585,5613,Satari,5613,626784,Gululem,626784,254479,Querim,0,5933,Satari,551.0,North Goa
135,30,Goa,30,551,North Goa,585,5613,Satari,5613,626774,Ivrem-Buzruco,626774,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
136,30,Goa,30,551,North Goa,585,5613,Satari,5613,626775,Ivrem-Curdo,626775,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
137,30,Goa,30,551,North Goa,585,5613,Satari,5613,626796,Maloli,626796,254451,Nagargao,0,5933,Satari,551.0,North Goa
138,30,Goa,30,551,North Goa,585,5613,Satari,5613,626838,Malpona,626838,254401,Cotodem,0,5933,Satari,551.0,North Goa
139,30,Goa,30,551,North Goa,585,5613,Satari,5613,924819,Massordem,0,,,,5933,Satari,551.0,North Goa
140,30,Goa,30,551,North Goa,585,5613,Satari,5613,626806,Mauxi,626806,254438,Mauxi,0,5933,Satari,551.0,North Goa
141,30,Goa,30,551,North Goa,585,5613,Satari,5613,626840,Melauli,626840,254420,Guleli,0,5933,Satari,551.0,North Goa
142,30,Goa,30,551,North Goa,585,5613,Satari,5613,626786,Morlem,626786,254446,Morlem,0,5933,Satari,551.0,North Goa
143,30,Goa,30,551,North Goa,585,5613,Satari,5613,626804,Nagargao,626804,254451,Nagargao,0,5933,Satari,551.0,North Goa
144,30,Goa,30,551,North Goa,585,5613,Satari,5613,626813,Naguem,626813,254438,Mauxi,0,5933,Satari,551.0,North Goa
145,30,Goa,30,551,North Goa,585,5613,Satari,5613,626792,Naneli,626792,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
146,30,Goa,30,551,North Goa,585,5613,Satari,5613,626797,Nanorem,626797,254451,Nagargao,0,5933,Satari,551.0,North Goa
147,30,Goa,30,551,North Goa,585,5613,Satari,5613,924821,Nanus,0,,,,5933,Satari,551.0,North Goa
148,30,Goa,30,551,North Goa,585,5613,Satari,5613,626842,Onda (Ct),626842,254421,Honda,0,5933,Satari,551.0,North Goa
149,30,Goa,30,551,North Goa,585,5613,Satari,5613,626829,Padeli,626829,254375,Birondem,0,5933,Satari,551.0,North Goa
150,30,Goa,30,551,North Goa,585,5613,Satari,5613,626783,Pale,626783,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
151,30,Goa,30,551,North Goa,585,5613,Satari,5613,626819,Pendral,626819,254492,Sanvordem,0,5933,Satari,551.0,North Goa
152,30,Goa,30,551,North Goa,585,5613,Satari,5613,626809,Pissurlem,626809,254474,Pissurlem,0,5933,Satari,551.0,North Goa
153,30,Goa,30,551,North Goa,585,5613,Satari,5613,626765,Podocem,626765,254477,Poriem,0,5933,Satari,551.0,North Goa
154,30,Goa,30,551,North Goa,585,5613,Satari,5613,626826,Ponocem,626826,254474,Pissurlem,0,5933,Satari,551.0,North Goa
155,30,Goa,30,551,North Goa,585,5613,Satari,5613,626772,Ponsuli,626772,254479,Querim,0,5933,Satari,551.0,North Goa
156,30,Goa,30,551,North Goa,585,5613,Satari,5613,626766,Poriem,626766,254477,Poriem,0,5933,Satari,551.0,North Goa
157,30,Goa,30,551,North Goa,585,5613,Satari,5613,626771,Quelaudem,626771,254479,Querim,0,5933,Satari,551.0,North Goa
158,30,Goa,30,551,North Goa,585,5613,Satari,5613,626785,Querim,626785,254479,Querim,0,5933,Satari,551.0,North Goa
159,30,Goa,30,551,North Goa,585,5613,Satari,5613,626767,Ravona,626767,254479,Querim,0,5933,Satari,551.0,North Goa
160,30,Goa,30,551,North Goa,585,5613,Satari,5613,626781,Rivem,626781,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
161,30,Goa,30,551,North Goa,585,5613,Satari,5613,626787,Saleli,626787,254421,Honda,0,5933,Satari,551.0,North Goa
162,30,Goa,30,551,North Goa,585,5613,Satari,5613,626824,Sanvorcem,626824,254375,Birondem,0,5933,Satari,551.0,North Goa
163,30,Goa,30,551,North Goa,585,5613,Satari,5613,626816,Sanvordem,626816,254492,Sanvordem,0,5933,Satari,551.0,North Goa
164,30,Goa,30,551,North Goa,585,5613,Satari,5613,626805,Satorem,626805,254451,Nagargao,0,5933,Satari,551.0,North Goa
165,30,Goa,30,551,North Goa,585,5613,Satari,5613,626778,Satrem,626778,254451,Nagargao,0,5933,Satari,551.0,North Goa
166,30,Goa,30,551,North Goa,585,5613,Satari,5613,626795,Sigonem,626795,254451,Nagargao,0,5933,Satari,551.0,North Goa
167,30,Goa,30,551,North Goa,585,5613,Satari,5613,626834,Siranguli,626834,254401,Cotodem,0,5933,Satari,551.0,North Goa
168,30,Goa,30,551,North Goa,585,5613,Satari,5613,626769,Siroli,626769,254479,Querim,0,5933,Satari,551.0,North Goa
169,30,Goa,30,551,North Goa,585,5613,Satari,5613,626835,Sirsodem,626835,254401,Cotodem,0,5933,Satari,551.0,North Goa
170,30,Goa,30,551,North Goa,585,5613,Satari,5613,626817,Sonal,626817,254492,Sanvordem,0,5933,Satari,551.0,North Goa
171,30,Goa,30,551,North Goa,585,5613,Satari,5613,626810,Sonus-Vonvoliem,626810,254421,Honda,0,5933,Satari,551.0,North Goa
172,30,Goa,30,551,North Goa,585,5613,Satari,5613,626777,Surla,626777,254412,Dongurli-Thane,0,5933,Satari,551.0,North Goa
173,30,Goa,30,551,North Goa,585,5613,Satari,5613,626800,Ustem,626800,254451,Nagargao,0,5933,Satari,551.0,North Goa
174,30,Goa,30,551,North Goa,585,5613,Satari,5613,626811,Vaguriem,626811,254474,Pissurlem,0,5933,Satari,551.0,North Goa
175,30,Goa,30,551,North Goa,585,5613,Satari,5613,626798,Vainguinim,626798,254451,Nagargao,0,5933,Satari,551.0,North Goa
176,30,Goa,30,551,North Goa,585,5613,Satari,5613,626827,Vantem,626827,254375,Birondem,0,5933,Satari,551.0,North Goa
177,30,Goa,30,551,North Goa,585,5613,Satari,5613,626822,Velguem,626822,254401,Cotodem,0,5933,Satari,551.0,North Goa
178,30,Goa,30,551,North Goa,585,5613,Satari,5613,924825,Velus,0,,,,5933,Satari,551.0,North Goa
179,30,Goa,30,551,North Goa,585,5613,Satari,5613,626794,Xelopo-Buzruco,626794,254451,Nagargao,0,5933,Satari,551.0,North Goa
180,30,Goa,30,551,North Goa,585,5613,Satari,5613,626833,Xelopo-Curdo,626833,254401,Cotodem,0,5933,Satari,551.0,North Goa
181,30,Goa,30,551,North Goa,585,5613,Satari,5613,626799,Zarani,626799,254451,Nagargao,0,5933,Satari,551.0,North Goa
182,30,Goa,30,551,North Goa,585,5613,Satari,5613,626788,Zormen,626788,254438,Mauxi,0,5933,Satari,551.0,North Goa
183,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626705,Ambarim,626705,254392,Chodan-Madel,0,5934,Tiswadi,551.0,North Goa
184,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626719,Azossim,626719,254363,Azossim-Mandur,0,5934,Tiswadi,551.0,North Goa
185,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626715,Bainguinim,626715,254496,Se-Old-Goa,0,5934,Tiswadi,551.0,North Goa
186,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626733,Bambolim (Ct),626733,254405,"Curca, Bambolim, Talaulim",0,5934,Tiswadi,551.0,North Goa
187,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626722,Batim,626722,254368,Batim,0,5934,Tiswadi,551.0,North Goa
188,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626732,Calapor (Ct),626732,254508,St. Cruz,0,5934,Tiswadi,551.0,North Goa
189,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626708,Capao,626708,254494,Sao Matias,0,5934,Tiswadi,551.0,North Goa
190,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626707,Caraim,626707,254392,Chodan-Madel,0,5934,Tiswadi,551.0,North Goa
191,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626718,Carambolim,626718,254381,Carambolim,0,5934,Tiswadi,551.0,North Goa
192,30,Goa,30,551,North Goa,585,5611,Tiswadi,5611,626730,Chimbel (Ct),626730,254390,Chimbel,0,5934,Tiswadi,551.0,North Goa
