State Code,State Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Village Code,Village Name,Pincode
30,Goa,552,South Goa,5614,Ponda,626872,Borim (Ct),403401
30,Goa,552,South Goa,5614,Ponda,626853,Candepar,403406
30,Goa,552,South Goa,5614,Ponda,626865,Candola (Ct),403107
30,Goa,552,South Goa,5614,Ponda,626860,Codar,403406
30,Goa,552,South Goa,5614,Ponda,626862,Conxem,403401
30,Goa,552,South Goa,5614,Ponda,626849,Cuncoliem,403404
30,Goa,552,South Goa,5614,Ponda,626855,Cundaim,403115
30,Goa,552,South Goa,5614,Ponda,626870,Curti (Ct),403401
30,Goa,552,South Goa,5614,Ponda,626856,Durbhat,403401
30,Goa,552,South Goa,5614,Ponda,626852,Gangem,403406
30,Goa,552,South Goa,5614,Ponda,626867,Marcaim (Ct),403404
30,Goa,552,South Goa,5614,Ponda,626861,Nirancal,403401
30,Goa,552,South Goa,5614,Ponda,626866,Orgao (Ct),403107
30,Goa,552,South Goa,5614,Ponda,626864,Ponchavadi,403706
30,Goa,552,South Goa,5614,Ponda,945835,Ponda,403401
30,Goa,552,South Goa,5614,Ponda,626868,Priol (Ct),403404
30,Goa,552,South Goa,5614,Ponda,626850,Querim,403401
30,Goa,552,South Goa,5614,Ponda,626871,Queula,403401
30,Goa,552,South Goa,5614,Ponda,626846,Savoi-Verem,403401
30,Goa,552,South Goa,5614,Ponda,626863,Shiroda,403103
30,Goa,552,South Goa,5614,Ponda,626857,Telaulim,403401
30,Goa,552,South Goa,5614,Ponda,626843,Tivrem,403107
30,Goa,552,South Goa,5614,Ponda,626873,Usgao (Ct),403406
30,Goa,552,South Goa,5614,Ponda,626858,Vadi,403401
30,Goa,552,South Goa,5614,Ponda,626851,Vagurbem,403401
30,Goa,552,South Goa,5614,Ponda,626854,Velinga,403404
30,Goa,552,South Goa,5614,Ponda,626845,Volvoi,403107
30,Goa,552,South Goa,5617,Quepem,626948,Adnem,403703
30,Goa,552,South Goa,5617,Quepem,626947,Ambaulim,403705
30,Goa,552,South Goa,5617,Quepem,910339,Amona,403705
