District Code,District Name (in English),District Census Code 2011,District Census Code 2001,Sub District Code,Sub District Name (in English),Sub District Census Code 2011,Sub District Census Code 2001,Village Code,Village Name (in English),Village Census Code 2011,Village Census Code 2001,Local Body Code,Local Body Name (in English),State Code,State Name
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626755,Naroa,626755,10000.0,254454,Naroa,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626759,Navelim,626759,10400.0,254456,Navelim,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626748,Ona,626748,9300.0,254437,Ona Maulinguem Curchirem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626764,Pale (Ct),626764,40118000.0,254464,"Pale, Cotombi",30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626756,Piligao,626756,10100.0,254472,Piligao,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626743,Salem,626743,8800.0,254485,Salem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,945832,Sankhali,0,,,,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626751,Sarvona,626751,9600.0,254424,Karapur-Sarvan,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626746,Sirigao,626746,9100.0,254503,Sirigao,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626761,Surla,626761,10600.0,254511,Surla,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626753,Vainguinim,626753,9800.0,254439,Mayem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,626762,Velguem,626762,10700.0,254525,Velguem,30,Goa
551,North Goa,585.0,1.0,5612,Bicholim,5612.0,4.0,924826,Virdi,0,,,,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626657,Agarvado,626657,2600.0,254347,Agarwada Chopdem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626649,Alorna,626649,1600.0,254350,Alorna,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626643,Amberem,626643,1000.0,254383,"Casnem, Amberem,Poroscodem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626658,Arambol (Ct),626658,400.0,254356,Arambol,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626651,Cansarvornem,626651,1800.0,254425,Kasarvanem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626641,Casnem,626641,800.0,254383,"Casnem, Amberem,Poroscodem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626648,Chandel,626648,1500.0,254386,Chandel Hasapur,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626656,Chopdem,626656,2500.0,254347,Agarwada Chopdem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626638,Corgao,626638,500.0,254397,Corgao,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626653,Dargalim,626653,2000.0,254411,Dhargal,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626650,Ibrampur,626650,1700.0,254422,Ibrampur,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626659,Mandrem (Ct),626659,2300.0,254435,Mandrem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626647,Mopa,626647,1400.0,254514,"Tamboxem, Mopa, Uguem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626661,Morgim,626661,2400.0,254445,Morjim,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626652,Ozorim,626652,1900.0,254463,Ozarim,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626637,Paliem,626637,300.0,254465,Paliem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626660,Parcem (Ct),626660,40102000.0,254467,Parcem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626639,Pernem,626639,600.0,,,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626640,Poroscodem,626640,700.0,254383,"Casnem, Amberem,Poroscodem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626636,Querim,626636,200.0,254426,Keri Terecol,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626645,Tamboxem,626645,1200.0,254514,"Tamboxem, Mopa, Uguem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626635,Tiracol,626635,100.0,254426,Keri Terecol,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626646,Torxem,626646,1300.0,254518,Torxem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626655,Tuem,626655,2200.0,254519,Tuem,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626644,Uguem,626644,1100.0,254514,"Tamboxem, Mopa, Uguem",30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626642,Varconda,626642,900.0,254524,Varkhand Nagzar,30,Goa
551,North Goa,585.0,1.0,5609,Pernem,5609.0,1.0,626654,Virnora,626654,2100.0,254533,Virnoda,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626825,Advoi,626825,16900.0,254375,Birondem,30,Goa
551,North Goa,585.0,1.0,5613,Satari,5613.0,5.0,626803,Ambedem,626803,14700.0,254451,Nagargao,30,Goa
