S.No.,Parliament Constituency code,Parliament Constituency ECI Code,Parliament Constituency Name,Assembly Constituency Code,Assembly Constituency ECI Code,Assembly Constituency Name,District Code,District Name,SubDistrict Code,SubDistrict Name,Ward Code,Ward Name,Urban Localbody Code,Urban Localbody Name,Localbody Type,State Code
65,480,1,North Goa,3683,5,Mapusa,551,North Goa,5610,Bardez,1469,Mapusa (M Cl) - Ward No.4,252061,Mapusa,Municipality,30
66,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1470,Mapusa (M Cl) - Ward No.5,252061,Mapusa,Municipality,30
67,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1473,Mapusa (M Cl) - Ward No.8,252061,Mapusa,Municipality,30
68,480,1,North Goa,3683,5,Mapusa,551,North Goa,,,1471,Mapusa (M Cl) - Ward No.6,252061,Mapusa,Municipality,30
69,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1438,Panaji (M Cl) - Ward No.5,252071,City Corporation Panaji,Municipal Corporation,30
70,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1485,Panaji (M Cl) - Ward No.1,252071,City Corporation Panaji,Municipal Corporation,30
71,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932802,Panaji (Mci) - Ward No.28,252071,City Corporation Panaji,Municipal Corporation,30
72,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1452,Panaji (M Ci) - Ward No.19,252071,City Corporation Panaji,Municipal Corporation,30
73,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932798,Panaji (Mci) - Ward No.24,252071,City Corporation Panaji,Municipal Corporation,30
74,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1449,Panaji (M Cl) - Ward No.16,252071,City Corporation Panaji,Municipal Corporation,30
75,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1454,Panaji (M Ci) - Ward No.21,252071,City Corporation Panaji,Municipal Corporation,30
76,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932780,Panaji (Mci) - Ward No.23,252071,City Corporation Panaji,Municipal Corporation,30
77,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1445,Panaji (M Cl) - Ward No.12,252071,City Corporation Panaji,Municipal Corporation,30
78,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932808,Panaji (Mci) - Ward No.29,252071,City Corporation Panaji,Municipal Corporation,30
79,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932780,Panaji (Mci) - Ward No.23,252071,City Corporation Panaji,Municipal Corporation,30
80,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1455,Panaji (M Ci) - Ward No.22,252071,City Corporation Panaji,Municipal Corporation,30
81,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1451,Panaji (M Ci) - Ward No.18,252071,City Corporation Panaji,Municipal Corporation,30
82,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932809,Panaji (Mci) - Ward No.30,252071,City Corporation Panaji,Municipal Corporation,30
83,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1451,Panaji (M Ci) - Ward No.18,252071,City Corporation Panaji,Municipal Corporation,30
84,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1449,Panaji (M Cl) - Ward No.16,252071,City Corporation Panaji,Municipal Corporation,30
85,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1438,Panaji (M Cl) - Ward No.5,252071,City Corporation Panaji,Municipal Corporation,30
86,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1487,Panaji (M Cl) - Ward No.3,252071,City Corporation Panaji,Municipal Corporation,30
87,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1488,Panaji (M Cl) - Ward No.4,252071,City Corporation Panaji,Municipal Corporation,30
88,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1447,Panaji (M Cl) - Ward No.14,252071,City Corporation Panaji,Municipal Corporation,30
89,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1486,Panaji (M Cl) - Ward No.2,252071,City Corporation Panaji,Municipal Corporation,30
90,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932799,Panaji (Mci) - Ward No.25,252071,City Corporation Panaji,Municipal Corporation,30
91,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932808,Panaji (Mci) - Ward No.29,252071,City Corporation Panaji,Municipal Corporation,30
92,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932809,Panaji (Mci) - Ward No.30,252071,City Corporation Panaji,Municipal Corporation,30
93,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932808,Panaji (Mci) - Ward No.29,252071,City Corporation Panaji,Municipal Corporation,30
94,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1448,Panaji (M Cl) - Ward No.15,252071,City Corporation Panaji,Municipal Corporation,30
95,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,932800,Panaji (Mci) - Ward No.26,252071,City Corporation Panaji,Municipal Corporation,30
96,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932801,Panaji (Mci) - Ward No.27,252071,City Corporation Panaji,Municipal Corporation,30
97,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1455,Panaji (M Ci) - Ward No.22,252071,City Corporation Panaji,Municipal Corporation,30
98,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1446,Panaji (M Cl) - Ward No.13,252071,City Corporation Panaji,Municipal Corporation,30
99,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1439,Panaji (M Cl) - Ward No.6,252071,City Corporation Panaji,Municipal Corporation,30
100,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1449,Panaji (M Cl) - Ward No.16,252071,City Corporation Panaji,Municipal Corporation,30
101,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1453,Panaji (M Ci) - Ward No.20,252071,City Corporation Panaji,Municipal Corporation,30
102,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1488,Panaji (M Cl) - Ward No.4,252071,City Corporation Panaji,Municipal Corporation,30
103,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932800,Panaji (Mci) - Ward No.26,252071,City Corporation Panaji,Municipal Corporation,30
104,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1441,Panaji (M Cl) - Ward No.8,252071,City Corporation Panaji,Municipal Corporation,30
105,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1442,Panaji (M Cl) - Ward No.9,252071,City Corporation Panaji,Municipal Corporation,30
106,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932801,Panaji (Mci) - Ward No.27,252071,City Corporation Panaji,Municipal Corporation,30
107,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1441,Panaji (M Cl) - Ward No.8,252071,City Corporation Panaji,Municipal Corporation,30
108,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1443,Panaji (M Cl) - Ward No.10,252071,City Corporation Panaji,Municipal Corporation,30
109,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932809,Panaji (Mci) - Ward No.30,252071,City Corporation Panaji,Municipal Corporation,30
110,480,1,North Goa,3684,11,Panaji,551,North Goa,,,932780,Panaji (Mci) - Ward No.23,252071,City Corporation Panaji,Municipal Corporation,30
111,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1443,Panaji (M Cl) - Ward No.10,252071,City Corporation Panaji,Municipal Corporation,30
112,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1441,Panaji (M Cl) - Ward No.8,252071,City Corporation Panaji,Municipal Corporation,30
113,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,932798,Panaji (Mci) - Ward No.24,252071,City Corporation Panaji,Municipal Corporation,30
114,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1440,Panaji (M Cl) - Ward No.7,252071,City Corporation Panaji,Municipal Corporation,30
115,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1486,Panaji (M Cl) - Ward No.2,252071,City Corporation Panaji,Municipal Corporation,30
116,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1450,Panaji (M Ci) - Ward No.17,252071,City Corporation Panaji,Municipal Corporation,30
117,480,1,North Goa,3684,11,Panaji,551,North Goa,,,1452,Panaji (M Ci) - Ward No.19,252071,City Corporation Panaji,Municipal Corporation,30
118,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1447,Panaji (M Cl) - Ward No.14,252071,City Corporation Panaji,Municipal Corporation,30
119,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1487,Panaji (M Cl) - Ward No.3,252071,City Corporation Panaji,Municipal Corporation,30
120,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1446,Panaji (M Cl) - Ward No.13,252071,City Corporation Panaji,Municipal Corporation,30
121,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1444,Panaji (M Cl) - Ward No.11,252071,City Corporation Panaji,Municipal Corporation,30
122,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1438,Panaji (M Cl) - Ward No.5,252071,City Corporation Panaji,Municipal Corporation,30
123,480,1,North Goa,3684,11,Panaji,551,North Goa,5610,Bardez,1444,Panaji (M Cl) - Ward No.11,252071,City Corporation Panaji,Municipal Corporation,30
124,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1442,Panaji (M Cl) - Ward No.9,252071,City Corporation Panaji,Municipal Corporation,30
125,480,1,North Goa,3684,11,Panaji,551,North Goa,5611,Tiswadi,1443,Panaji (M Cl) - Ward No.10,252071,City Corporation Panaji,Municipal Corporation,30
