S.No.,District Code,District Name (In English),Sub-District Code,Sub-District Name (In English),Village Code,Village Version,Village Name (In English),Village Name (In Local),Village Category,Village Status,Census 2001 Code,Census 2011 Code,State Code,State Name (In English)
163,551,North Goa,5613,Satari,626781,1,Rivem,,Rural,Inhabitant,12400,626781,30,Goa
164,551,North Goa,5613,Satari,626787,1,Saleli,,Rural,Inhabitant,13100,626787,30,Goa
165,551,North Goa,5613,Satari,626824,1,Sanvorcem,,Rural,Inhabitant,16800,626824,30,Goa
166,551,North Goa,5613,Satari,626816,1,Sanvordem,,Rural,Inhabitant,16000,626816,30,Goa
167,551,North Goa,5613,Satari,626805,1,Satorem,,Rural,Inhabitant,14900,626805,30,Goa
168,551,North Goa,5613,Satari,626778,1,Satrem,,Rural,Inhabitant,12100,626778,30,Goa
169,551,North Goa,5613,Satari,626795,1,Sigonem,,Rural,Inhabitant,13900,626795,30,Goa
170,551,North Goa,5613,Satari,626834,1,Siranguli,,Rural,Inhabitant,17800,626834,30,Goa
171,551,North Goa,5613,Satari,626769,1,Siroli,,Rural,Inhabitant,11200,626769,30,Goa
172,551,North Goa,5613,Satari,626835,1,Sirsodem,,Rural,Inhabitant,17900,626835,30,Goa
173,551,North Goa,5613,Satari,626817,1,Sonal,,Rural,Inhabitant,16100,626817,30,Goa
174,551,North Goa,5613,Satari,626810,1,Sonus-Vonvoliem,,Rural,Inhabitant,15400,626810,30,Goa
175,551,North Goa,5613,Satari,626777,1,Surla,,Rural,Inhabitant,12000,626777,30,Goa
176,551,North Goa,5613,Satari,626800,1,Ustem,,Rural,Inhabitant,14400,626800,30,Goa
177,551,North Goa,5613,Satari,626811,1,Vaguriem,,Rural,Inhabitant,15500,626811,30,Goa
178,551,North Goa,5613,Satari,626798,1,Vainguinim,,Rural,Inhabitant,14200,626798,30,Goa
179,551,North Goa,5613,Satari,945833,1,Valpoi,Valpoi,Urban,Inhabitant,,0,30,Goa
180,551,North Goa,5613,Satari,626827,1,Vantem,,Rural,Inhabitant,17100,626827,30,Goa
181,551,North Goa,5613,Satari,626822,1,Velguem,,Rural,Inhabitant,16600,626822,30,Goa
182,551,North Goa,5613,Satari,924825,1,Velus,Velus,Urban,Inhabitant,,0,30,Goa
183,551,North Goa,5613,Satari,626794,1,Xelopo-Buzruco,,Rural,Inhabitant,13800,626794,30,Goa
184,551,North Goa,5613,Satari,626833,1,Xelopo-Curdo,,Rural,Inhabitant,17700,626833,30,Goa
185,551,North Goa,5613,Satari,626799,1,Zarani,,Rural,Inhabitant,14300,626799,30,Goa
186,551,North Goa,5613,Satari,626788,1,Zormen,,Rural,Inhabitant,13200,626788,30,Goa
187,551,North Goa,5611,Tiswadi,626705,1,Ambarim,,Rural,Inhabitant,6000,626705,30,Goa
188,551,North Goa,5611,Tiswadi,626719,1,Azossim,,Rural,Inhabitant,7700,626719,30,Goa
189,551,North Goa,5611,Tiswadi,626715,1,Bainguinim,,Rural,Inhabitant,7300,626715,30,Goa
190,551,North Goa,5611,Tiswadi,626733,1,Bambolim (Ct),,Rural,Inhabitant,40122000,626733,30,Goa
191,551,North Goa,5611,Tiswadi,626722,1,Batim,,Rural,Inhabitant,8000,626722,30,Goa
192,551,North Goa,5611,Tiswadi,626732,1,Calapor (Ct),,Rural,Inhabitant,40121000,626732,30,Goa
193,551,North Goa,5611,Tiswadi,626708,1,Capao,,Rural,Inhabitant,6300,626708,30,Goa
194,551,North Goa,5611,Tiswadi,626707,1,Caraim,,Rural,Inhabitant,6200,626707,30,Goa
195,551,North Goa,5611,Tiswadi,626718,1,Carambolim,,Rural,Inhabitant,7600,626718,30,Goa
196,551,North Goa,5611,Tiswadi,626730,1,Chimbel (Ct),,Rural,Inhabitant,40119000,626730,30,Goa
197,551,North Goa,5611,Tiswadi,626706,1,Chorao,,Rural,Inhabitant,6100,626706,30,Goa
198,551,North Goa,5611,Tiswadi,626729,1,Corlim (Ct),,Rural,Inhabitant,7100,626729,30,Goa
199,551,North Goa,5611,Tiswadi,626740,1,Cujira (Og),,Rural,Inhabitant,40120000,626740,30,Goa
200,551,North Goa,5611,Tiswadi,626728,1,Cumbarjua (Ct),,Rural,Inhabitant,6900,626728,30,Goa
201,551,North Goa,5611,Tiswadi,626723,1,Curca,,Rural,Inhabitant,8100,626723,30,Goa
202,551,North Goa,5611,Tiswadi,645599,2,Durgavado,,Rural,Inhabitant,,645599,30,Goa
203,551,North Goa,5611,Tiswadi,626714,1,Ella,,Rural,Inhabitant,7200,626714,30,Goa
204,551,North Goa,5611,Tiswadi,626721,1,Gancim,,Rural,Inhabitant,7900,626721,30,Goa
205,551,North Goa,5611,Tiswadi,626713,1,Gandaulim,,Rural,Inhabitant,7000,626713,30,Goa
206,551,North Goa,5611,Tiswadi,626717,2,Goalim-Moula,,Rural,Inhabitant,7500,626717,30,Goa
207,551,North Goa,5611,Tiswadi,626734,2,Goa-Velha,,Rural,Inhabitant,40123000,626734,30,Goa
208,551,North Goa,5611,Tiswadi,626710,1,Goltim,,Rural,Inhabitant,6500,626710,30,Goa
209,551,North Goa,5611,Tiswadi,626727,1,Jua (Ct),,Rural,Inhabitant,6800,626727,30,Goa
210,551,North Goa,5611,Tiswadi,626711,1,Malar,,Rural,Inhabitant,6600,626711,30,Goa
211,551,North Goa,5611,Tiswadi,626720,1,Mandur,,Rural,Inhabitant,7800,626720,30,Goa
212,551,North Goa,5611,Tiswadi,626735,1,Mercurim (Ct),,Rural,Inhabitant,8500,626735,30,Goa
213,551,North Goa,5611,Tiswadi,626737,2,Morambi-O-Grande (Merces),,Rural,Inhabitant,40120000,626737,30,Goa
214,551,North Goa,5611,Tiswadi,626739,2,Morambi-O-Pequeno (Merces),,Rural,Inhabitant,40120000,626739,30,Goa
215,551,North Goa,5611,Tiswadi,626731,1,Murda (Ct),,Rural,Inhabitant,40120000,626731,30,Goa
216,551,North Goa,5611,Tiswadi,626712,3,Naroa,,Rural,Inhabitant,6700,626712,30,Goa
217,551,North Goa,5611,Tiswadi,626709,1,Navelim,,Rural,Inhabitant,6400,626709,30,Goa
218,551,North Goa,5611,Tiswadi,626726,1,Neura-O-Grande,,Rural,Inhabitant,8400,626726,30,Goa
219,551,North Goa,5611,Tiswadi,626725,1,Neura-O-Pequeno,,Rural,Inhabitant,8300,626725,30,Goa
220,551,North Goa,5611,Tiswadi,945834,1,Panaji,Panaji,Urban,Inhabitant,,0,30,Goa
221,551,North Goa,5611,Tiswadi,626736,1,Panelim (Og),,Rural,Inhabitant,40120000,626736,30,Goa
222,551,North Goa,5611,Tiswadi,626738,1,Renovadi (Og),,Rural,Inhabitant,40120000,626738,30,Goa
223,551,North Goa,5611,Tiswadi,626724,1,Siridao,,Rural,Inhabitant,8200,626724,30,Goa
224,551,North Goa,5611,Tiswadi,626716,1,Talaulim,,Rural,Inhabitant,7400,626716,30,Goa
225,551,North Goa,5611,Tiswadi,645598,2,Taleigao,,Rural,Inhabitant,,645598,30,Goa
226,552,South Goa,5619,Canacona,627023,1,Agonda,,Rural,Inhabitant,35300,627023,30,Goa
227,552,South Goa,5619,Canacona,627029,2,Angediva,,Rural,Inhabitant,35900,627029,30,Goa
228,552,South Goa,5619,Canacona,627024,1,Canacona,,Rural,Inhabitant,35400,627024,30,Goa
229,552,South Goa,5619,Canacona,924816,1,Chaudi,Chaudi,Urban,Inhabitant,,0,30,Goa
230,552,South Goa,5619,Canacona,627022,1,Cola,,Rural,Inhabitant,35200,627022,30,Goa
231,552,South Goa,5619,Canacona,627028,1,Cotigao,,Rural,Inhabitant,35800,627028,30,Goa
232,552,South Goa,5619,Canacona,627025,1,Gaodongrem,,Rural,Inhabitant,35500,627025,30,Goa
233,552,South Goa,5619,Canacona,627027,1,Loliem,,Rural,Inhabitant,35700,627027,30,Goa
234,552,South Goa,5619,Canacona,924820,1,Nagorcem - Palolem,Nagorcem - Palolem,Urban,Inhabitant,,0,30,Goa
235,552,South Goa,5619,Canacona,627026,1,Poinguinim,,Rural,Inhabitant,35600,627026,30,Goa
